Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Trenton Hassell,9.2,2.8,2.6,0.6,0.4,0.464,0.304,0.744,0.044,32.6
Chuck Hayes,3.7,4.5,0.4,0.7,0.4,0.562,0,0.644,0.212,13.4
Jarvis Hayes,9.3,3.6,1.3,0.8,0,0.421,0.362,0.833,0.065,24.6
Brendan Haywood,7.3,5.9,0.6,0.4,1.3,0.514,,0.585,0.099,23.8
Luther Head,8.8,3.3,2.7,1.1,0.1,0.403,0.361,0.699,0.072,28.9
Alan Henderson,2.5,2.7,0.2,0.2,0.2,0.516,,0.673,0.116,10.4
Nenê,0,0,0,0,0,0,,,-1.312,3
Grant Hill,15.1,3.8,2.3,1.1,0.3,0.49,0.25,0.765,0.13,29.2
Kirk Hinrich,15.9,3.6,6.3,1.2,0.3,0.418,0.37,0.815,0.124,36.5
Julius Hodge,0.9,0.5,0.4,0.1,0,0.385,,0.375,-0.219,2.4
Randy Holcomb,0.5,0.3,0,0,0,1,,,0.15,2.8
Robert Horry,5.1,3.8,1.3,0.7,0.8,0.384,0.368,0.647,0.145,18.8
Eddie House,9.8,1.6,1.8,0.5,0.1,0.422,0.389,0.805,0.054,17.5
Dwight Howard,15.8,12.5,1.5,0.8,1.4,0.531,0,0.595,0.137,36.8
